172.16.38.1,tcp(22) tcp(7) udp(41963) ,Cisco Nexus switch (NX-OS 6.0(2))
172.16.38.107,tcp(135) ,Microsoft Windows XP SP2
172.16.38.110,tcp(22) tcp(7) udp(33786) ,Linux 2.6.32
172.16.38.112,tcp(5357) ,AVtech Room Alert 26W environmental monitor
172.16.38.114,tcp(5357) ,AVtech Room Alert 26W environmental monitor
172.16.38.123,tcp(135) ,Microsoft Windows Server 2008 SP1 or Windows Server 2008 R2
172.16.38.137,tcp(135) 
172.16.38.145,tcp(135) ,Microsoft Windows XP SP2
172.16.38.148,tcp(135) ,Microsoft Windows XP SP2
172.16.38.150,tcp(135) ,Microsoft Windows XP SP2
172.16.38.151,tcp(5357) ,AVtech Room Alert 26W environmental monitor
172.16.38.153,tcp(135) udp(42998) ,Microsoft Windows Longhorn
172.16.38.158,tcp(5357) ,AVtech Room Alert 26W environmental monitor
172.16.38.159,tcp(22) tcp(7) udp(44271) ,Linux 2.6.32
172.16.38.161,tcp(3306) ,Microsoft Windows XP SP2
172.16.38.164,tcp(135) ,Microsoft Windows XP SP2
172.16.38.168,tcp(135) ,Microsoft Windows XP SP2
172.16.38.187,tcp(5357) ,AVtech Room Alert 26W environmental monitor
172.16.38.189,tcp(5357) ,AVtech Room Alert 26W environmental monitor
172.16.38.192,tcp(5357) ,AVtech Room Alert 26W environmental monitor
172.16.38.25,tcp(135) ,"Microsoft Windows Vista SP0 or SP1, Windows Server 2008 SP1, or Windows 7"
172.16.38.28,tcp(135) ,AVtech Room Alert 26W environmental monitor
172.16.38.34,tcp(135) 
172.16.38.35,tcp(135) ,Microsoft Windows XP SP2
172.16.38.42,tcp(5357) ,AVtech Room Alert 26W environmental monitor
172.16.38.44,tcp(135) ,Microsoft Windows XP SP2
172.16.38.48,tcp(135) 
172.16.38.58,tcp(3306) tcp(7) udp(43717) ,Apple iOS 11.0
172.16.38.65,tcp(3306) ,AVtech Room Alert 26W environmental monitor
172.16.38.66,tcp(5357) ,AVtech Room Alert 26W environmental monitor
172.16.38.67,tcp(111) tcp(7) udp(35151) ,Linux 2.6.32
172.16.38.74,tcp(3306) ,Microsoft Windows Server 2008 SP1 or Windows Server 2008 R2
172.16.38.86,tcp(135) ,Microsoft Windows Server 2008 SP1 or Windows Server 2008 R2
172.16.38.87,tcp(3389) ,Microsoft Windows XP SP2
172.16.38.88,tcp(5357) ,AVtech Room Alert 26W environmental monitor
172.16.38.94,tcp(135) ,Microsoft Windows XP SP2
172.16.38.96,tcp(5357) ,AVtech Room Alert 26W environmental monitor
172.16.38.98,tcp(22) tcp(7) udp(35642) ,Linux 2.6.32
